test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,value_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,BuyPremium_t,SellPremium_th,BuySpot_t,SellSpot_th,M_group,steps_ahead,R_t,RF_t,ER_t
2020-03-28,-1,3500,6108.23,76.35,27,0.572997414963091,0.999965253513866,1.5033,3e-4,0,305411.5,50,7477.6,0,-1,0.57,-0.427002585036909,0,76.35,0,6108.23,7477.6,"(-0.5,-0.1]",27,0.20907107553801269,3.747968745786423e-4,0.20869627866343404
2020-03-28,-1,3500,6235.84,65.48,27,0.561271616975419,0.99996118751922,1.4919,3e-4,0,155896,25,7477.6,0,-1,0.56,-0.43872838302458095,0,65.48,0,6235.84,7477.6,"(-0.5,-0.1]",27,0.18667152025718453,3.747968745786423e-4,0.1862967233826059
2020-03-28,-1,3500,6219.82,68.42,27,0.562717249052223,0.999970308872029,1.517,3e-4,0,3109.91,0.5,7477.6,0,-1,0.56,-0.437282750947777,0,68.42,0,6219.82,7477.6,"(-0.5,-0.1]",27,0.18913997942662428,3.747968745786423e-4,0.18876518255204564
2020-03-28,-1,3500,6220.06,68.42,27,0.562695536699003,0.999970309488285,1.517,3e-4,0,6220.06,1,7477.6,0,-1,0.56,-0.43730446330099704,0,68.42,0,6220.06,7477.6,"(-0.5,-0.1]",27,0.18909459589153718,3.747968745786423e-4,0.18871979901695854
2020-03-28,-1,3500,6220.47,68.43,27,0.562658448638125,0.999970342617333,1.5171,3e-4,0,43543.29,7,7477.6,0,-1,0.56,-0.437341551361875,0,68.43,0,6220.47,7477.6,"(-0.5,-0.1]",27,0.18901518339868412,3.747968745786423e-4,0.18864038652410547
2020-03-28,-1,3500,6188.62,74.26,27,0.565554194634668,0.999971116785024,1.5198,3e-4,0,61886.2,10,7477.6,0,-1,0.56,-0.4344458053653319,0,74.26,0,6188.62,7477.6,"(-0.5,-0.1]",27,0.19395508760354907,3.747968745786423e-4,0.19358029072897043
2020-03-28,-1,3500,6235.84,65.48,27,0.561271616975419,0.99996118751922,1.4919,3e-4,0,37415.04,6,7477.6,0,-1,0.56,-0.43872838302458095,0,65.48,0,6235.84,7477.6,"(-0.5,-0.1]",27,0.18667152025718453,3.747968745786423e-4,0.1862967233826059
2020-03-28,-1,3500,6235.84,65.48,27,0.561271616975419,0.99996118751922,1.4919,3e-4,0,124716.8,20,7477.6,0,-1,0.56,-0.43872838302458095,0,65.48,0,6235.84,7477.6,"(-0.5,-0.1]",27,0.18667152025718453,3.747968745786423e-4,0.1862967233826059
2020-03-28,-1,3500,6235.84,65.48,27,0.561271616975419,0.99996118751922,1.4919,3e-4,0,155896,25,7477.6,0,-1,0.56,-0.43872838302458095,0,65.48,0,6235.84,7477.6,"(-0.5,-0.1]",27,0.18667152025718453,3.747968745786423e-4,0.1862967233826059
2020-03-28,-1,3500,6235.84,65.48,27,0.561271616975419,0.99996118751922,1.4919,3e-4,0,37415.04,6,7477.6,0,-1,0.56,-0.43872838302458095,0,65.48,0,6235.84,7477.6,"(-0.5,-0.1]",27,0.18667152025718453,3.747968745786423e-4,0.1862967233826059
