test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,value_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,BuyPremium_t,SellPremium_th,SellSpot_t,BuySpot_th,M_group,steps_ahead,R_t,RF_t,ER_t
2020-03-28,1,6000,6112.98,690.77,27,0.981518015763179,0.580782479756343,0.9885,3e-4,0,9169.47,1.5,7477.6,1477.6000000000004,1.139062205944092,0.98,-0.01848198423682101,0,690.77,1477.6000000000004,6112.98,7477.6,"(-0.1,0.15]",27,-0.001999406953530044,3.606525032791019e-4,-0.002360059456809146
2020-03-28,1,6000,6124.07,698.14,27,0.979740597347842,0.583454041127951,0.9902,3e-4,0,12248.14,2,7477.6,1477.6000000000004,1.1164809350560063,0.97,-0.02025940265215797,0,698.14,1477.6000000000004,6124.07,7477.6,"(-0.1,0.15]",27,-0.003569615052737397,3.606525032791019e-4,-0.003930267556016499
2020-03-28,1,6000,6149.1,713.3,27,0.975752549153535,0.589370880421532,0.9912,3e-4,0,6149.1,1,7477.6,1477.6000000000004,1.0714986681620644,0.97,-0.02424745084646495,0,713.3,1477.6000000000004,6149.1,7477.6,"(-0.1,0.15]",27,-0.006417208861691129,3.606525032791019e-4,-0.006777861364970231
2020-03-28,1,6000,6264.07,808.07,27,0.957843702257478,0.615674697908903,1.0144,3e-4,0,125907.807,20.1,7477.6,1477.6000000000004,0.8285544569158616,0.95,-0.04215629774252205,0,808.07,1477.6000000000004,6264.07,7477.6,"(-0.1,0.15]",27,-0.02545783297772647,3.606525032791019e-4,-0.02581848548100557
2020-03-28,1,6000,6259.02,807.41,27,0.958616524631651,0.614533600584611,1.0187,3e-4,0,62590.2,10,7477.6,1477.6000000000004,0.8300491695668872,0.95,-0.04138347536834896,0,807.41,1477.6000000000004,6259.02,7477.6,"(-0.1,0.15]",27,-0.02588653532921787,3.606525032791019e-4,-0.026247187832496972
2020-03-28,1,6000,6259.32,810.58,27,0.958570579551772,0.61457923106282,1.0227,3e-4,0,62593.2,10,7477.6,1477.6000000000004,0.822892249993832,0.95,-0.04142942044822795,0,810.58,1477.6000000000004,6259.32,7477.6,"(-0.1,0.15]",27,-0.026911189547860304,3.606525032791019e-4,-0.027271842051139406
2020-03-28,1,6000,6259.39,810.59,27,0.958559859666837,0.61459509708406,1.0226,3e-4,0,625.939,0.1,7477.6,1477.6000000000004,0.8228697615317242,0.95,-0.04144014033316301,0,810.59,1477.6000000000004,6259.39,7477.6,"(-0.1,0.15]",27,-0.026905507287945756,3.606525032791019e-4,-0.027266159791224858
2020-03-28,1,6000,6218.44,755.54,27,0.96487221875583,0.605466736602906,0.9918,3e-4,0,3109.22,0.5,7477.6,1477.6000000000004,0.955687322974297,0.96,-0.03512778124417004,0,755.54,1477.6000000000004,6218.44,7477.6,"(-0.1,0.15]",27,-0.013397324214951383,3.606525032791019e-4,-0.013757976718230485
2020-03-28,1,6000,6066.24,679.42,27,0.989080550720051,0.57041024591937906,1.0102,3e-4,0,6066.24,1,7477.6,1477.6000000000004,1.1747961496570611,0.98,-0.01091944927994903,0,679.42,1477.6000000000004,6066.24,7477.6,"(-0.1,0.15]",27,-0.0024720014987871827,3.606525032791019e-4,-0.0028326540020662846
2020-03-28,1,6000,6243.5,771.07,27,0.960999439416994,0.611180808658252,0.9946,3e-4,0,3121.75,0.5,7477.6,1477.6000000000004,0.9162981311683768,0.96,-0.03900056058300605,0,771.07,1477.6000000000004,6243.5,7477.6,"(-0.1,0.15]",27,-0.015675134671084567,3.606525032791019e-4,-0.01603578717436367
2020-03-28,1,6000,6208.32,776.04,27,0.966445028606773,0.603272051625581,1.0204,3e-4,0,12416.64,2,7477.6,1477.6000000000004,0.9040255656924908,0.96,-0.03355497139322705,0,776.04,1477.6000000000004,6208.32,7477.6,"(-0.1,0.15]",27,-0.02160842137658038,3.606525032791019e-4,-0.021969073879859483
2020-03-28,1,6000,6117.28,737.13,27,0.980828080454058,0.583158375623659,1.0405,3e-4,0,70960.448,11.6,7477.6,1477.6000000000004,1.004531086782522,0.98,-0.01917191954594199,0,737.13,1477.6000000000004,6117.28,7477.6,"(-0.1,0.15]",27,-0.01866007973916995,3.606525032791019e-4,-0.019020732242449052
2020-03-28,1,6000,6092.21,728.02,27,0.984864277495359,0.57774491609492,1.0483,3e-4,0,64577.426,10.6,7477.6,1477.6000000000004,1.0296145710282691,0.98,-0.01513572250464101,0,728.02,1477.6000000000004,6092.21,7477.6,"(-0.1,0.15]",27,-0.018204536352992413,3.606525032791019e-4,-0.018565188856271515
2020-03-28,1,6000,6088.84,730.66,27,0.985409371900066,0.57730608687636,1.0577,3e-4,0,3044.42,0.5,7477.6,1477.6000000000004,1.022281225193661,0.98,-0.01459062809993405,0,730.66,1477.6000000000004,6088.84,7477.6,"(-0.1,0.15]",27,-0.01968048193691257,3.606525032791019e-4,-0.020041134440191673
2020-03-28,1,6000,6107.39,732.89,27,0.982416384085509,0.581041440047678,1.0444,3e-4,0,30536.95,5,7477.6,1477.6000000000004,1.0161279318860954,0.98,-0.01758361591449098,0,732.89,1477.6000000000004,6107.39,7477.6,"(-0.1,0.15]",27,-0.01826819480651852,3.606525032791019e-4,-0.018628847309797622
2020-03-28,1,6000,6119.8,734.38,27,0.980424196869179,0.583600692880234,1.0358,3e-4,0,4895.84,0.8,7477.6,1477.6000000000004,1.0120373648519845,0.98,-0.01957580313082096,0,734.38,1477.6000000000004,6119.8,7477.6,"(-0.1,0.15]",27,-0.017338950178868946,3.606525032791019e-4,-0.017699602682148048
2020-03-28,1,6000,6203.2,775.4,27,0.967242713438225,0.602151577248603,1.024,3e-4,0,6203.2,1,7477.6,1477.6000000000004,0.9055971111684298,0.96,-0.03275728656177501,0,775.4,1477.6000000000004,6203.2,7477.6,"(-0.1,0.15]",27,-0.022021927824878666,3.606525032791019e-4,-0.022382580328157767
2020-03-28,1,6500,6148,501.06,27,1.05725439167209,0.469186459899701,0.9749,3e-4,0,24592,4,7477.6,977.6000000000004,0.9510637448608956,1.05,0.05725439167209001,0,501.06,977.6000000000004,6148,7477.6,"(-0.1,0.15]",27,-0.061795854293345324,3.606525032791019e-4,-0.062156506796624426
2020-03-28,1,6500,6313.55,577.69,27,1.02953172145623,0.509756083184863,0.9812,3e-4,0,3156.775,0.5,7477.6,977.6000000000004,0.6922570929044993,1.02,0.02953172145623006,0,577.69,977.6000000000004,6313.55,7477.6,"(-0.1,0.15]",27,-0.07326579919073531,3.606525032791019e-4,-0.07362645169401441
2020-03-28,1,6500,6144.08,513.03,27,1.05792893321702,0.470720589821527,0.9928,3e-4,0,30720.4,5,7477.6,977.6000000000004,0.9055415862620128,1.05,0.05792893321702008,0,513.03,977.6000000000004,6144.08,7477.6,"(-0.1,0.15]",27,-0.06857395442345955,3.606525032791019e-4,-0.06893460692673865
2020-03-28,1,6500,6144.08,516.1,27,1.05792893321702,0.471365734362506,0.9975,3e-4,0,18432.24,3,7477.6,977.6000000000004,0.8942065491183886,1.05,0.05792893321702008,0,516.1,977.6000000000004,6144.08,7477.6,"(-0.1,0.15]",27,-0.0701995872486294,3.606525032791019e-4,-0.0705602397519085
2020-03-28,1,6500,6092.21,505.65,27,1.06693630061997,0.462150757167819,1.0193,3e-4,0,71278.857,11.7,7477.6,977.6000000000004,0.9333531098585988,1.06,0.06693630061996991,0,505.65,977.6000000000004,6092.21,7477.6,"(-0.1,0.15]",27,-0.07286517271740407,3.606525032791019e-4,-0.07322582522068317
2020-03-28,1,6500,6088.84,508.42,27,1.06752681955841,0.462591083892389,1.0278,3e-4,0,1217.768,0.2,7477.6,977.6000000000004,0.9228197159828496,1.06,0.06752681955841,0,508.42,977.6000000000004,6088.84,7477.6,"(-0.1,0.15]",27,-0.07505686691339075,3.606525032791019e-4,-0.07541751941666985
2020-03-28,1,6500,6268.96,542.27,27,1.03685459789184,0.497308285889656,0.9644,3e-4,0,3134.48,0.5,7477.6,977.6000000000004,0.8027919671012602,1.03,0.03685459789183998,0,542.27,977.6000000000004,6268.96,7477.6,"(-0.1,0.15]",27,-0.0643553705704983,3.606525032791019e-4,-0.0647160230737774
2020-03-28,1,6500,6287.19,572.13,27,1.03384818973182,0.503145082989526,0.9778,3e-4,0,8802.066,1.4,7477.6,977.6000000000004,0.7087025675982737,1.03,0.03384818973181991,0,572.13,977.6000000000004,6287.19,7477.6,"(-0.1,0.15]",27,-0.07466658153837252,3.606525032791019e-4,-0.07502723404165162
2020-03-28,1,6500,6255.18,547.33,27,1.03913876179422,0.495239024405786,0.9756,3e-4,0,31275.9,5,7477.6,977.6000000000004,0.7861253722617074,1.03,0.03913876179422004,0,547.33,977.6000000000004,6255.18,7477.6,"(-0.1,0.15]",27,-0.06866164029912013,3.606525032791019e-4,-0.06902229280239923
2020-03-28,1,6500,6253.47,547.18,27,1.03942291239904,0.49491898153275,0.9764,3e-4,0,31267.35,5,7477.6,977.6000000000004,0.7866150078584753,1.03,0.03942291239903994,0,547.18,977.6000000000004,6253.47,7477.6,"(-0.1,0.15]",27,-0.06885410191317089,3.606525032791019e-4,-0.06921475441644999
2020-03-28,1,6500,6243.05,546.27,27,1.04115776743739,0.492889603704345,0.9805,3e-4,0,31215.25,5,7477.6,977.6000000000004,0.7895912277811346,1.04,0.04115776743738997,0,546.27,977.6000000000004,6243.05,7477.6,"(-0.1,0.15]",27,-0.0700025087968555,3.606525032791019e-4,-0.0703631613001346
2020-03-28,1,6500,6234.79,545.54,27,1.04253711833117,0.491449683319538,0.9851,3e-4,0,31173.95,5,7477.6,977.6000000000004,0.7919859222055219,1.04,0.04253711833117002,0,545.54,977.6000000000004,6234.79,7477.6,"(-0.1,0.15]",27,-0.0709610272610097,3.606525032791019e-4,-0.0713216797642888
2020-03-28,1,6500,6290.19,553.54,27,1.03335511327957,0.501951105667503,0.9597,3e-4,0,3145.095,0.5,7477.6,977.6000000000004,0.7660873649600759,1.03,0.03335511327956997,0,553.54,977.6000000000004,6290.19,7477.6,"(-0.1,0.15]",27,-0.0660419098013758,3.606525032791019e-4,-0.0664025623046549
2020-03-28,1,6500,6313.55,577.69,27,1.02953172145623,0.509756083184863,0.9812,3e-4,0,3156.775,0.5,7477.6,977.6000000000004,0.6922570929044993,1.02,0.02953172145623006,0,577.69,977.6000000000004,6313.55,7477.6,"(-0.1,0.15]",27,-0.07326579919073531,3.606525032791019e-4,-0.07362645169401441
2020-03-28,1,6500,6148,501.06,27,1.05725439167209,0.469186459899701,0.9749,3e-4,0,24592,4,7477.6,977.6000000000004,0.9510637448608956,1.05,0.05725439167209001,0,501.06,977.6000000000004,6148,7477.6,"(-0.1,0.15]",27,-0.061795854293345324,3.606525032791019e-4,-0.062156506796624426
2020-03-28,1,6500,6290.19,553.54,27,1.03335511327957,0.501951105667503,0.9597,3e-4,0,3145.095,0.5,7477.6,977.6000000000004,0.7660873649600759,1.03,0.03335511327956997,0,553.54,977.6000000000004,6290.19,7477.6,"(-0.1,0.15]",27,-0.0660419098013758,3.606525032791019e-4,-0.0664025623046549
2020-03-28,1,6500,6287.19,572.13,27,1.03384818973182,0.503145082989526,0.9778,3e-4,0,8802.066,1.4,7477.6,977.6000000000004,0.7087025675982737,1.03,0.03384818973181991,0,572.13,977.6000000000004,6287.19,7477.6,"(-0.1,0.15]",27,-0.07466658153837252,3.606525032791019e-4,-0.07502723404165162
2020-03-28,1,6500,6255.18,547.33,27,1.03913876179422,0.495239024405786,0.9756,3e-4,0,31275.9,5,7477.6,977.6000000000004,0.7861253722617074,1.03,0.03913876179422004,0,547.33,977.6000000000004,6255.18,7477.6,"(-0.1,0.15]",27,-0.06866164029912013,3.606525032791019e-4,-0.06902229280239923
2020-03-28,1,6500,6253.47,547.18,27,1.03942291239904,0.49491898153275,0.9764,3e-4,0,31267.35,5,7477.6,977.6000000000004,0.7866150078584753,1.03,0.03942291239903994,0,547.18,977.6000000000004,6253.47,7477.6,"(-0.1,0.15]",27,-0.06885410191317089,3.606525032791019e-4,-0.06921475441644999
2020-03-28,1,6500,6243.05,546.27,27,1.04115776743739,0.492889603704345,0.9805,3e-4,0,31215.25,5,7477.6,977.6000000000004,0.7895912277811346,1.04,0.04115776743738997,0,546.27,977.6000000000004,6243.05,7477.6,"(-0.1,0.15]",27,-0.0700025087968555,3.606525032791019e-4,-0.0703631613001346
2020-03-28,1,6500,6234.79,545.54,27,1.04253711833117,0.491449683319538,0.9851,3e-4,0,31173.95,5,7477.6,977.6000000000004,0.7919859222055219,1.04,0.04253711833117002,0,545.54,977.6000000000004,6234.79,7477.6,"(-0.1,0.15]",27,-0.0709610272610097,3.606525032791019e-4,-0.0713216797642888
2020-03-28,1,6500,6268.96,542.27,27,1.03685459789184,0.497308285889656,0.9644,3e-4,0,3134.48,0.5,7477.6,977.6000000000004,0.8027919671012602,1.03,0.03685459789183998,0,542.27,977.6000000000004,6268.96,7477.6,"(-0.1,0.15]",27,-0.0643553705704983,3.606525032791019e-4,-0.0647160230737774
2020-03-28,1,6500,6144.08,513.03,27,1.05792893321702,0.470720589821527,0.9928,3e-4,0,30720.4,5,7477.6,977.6000000000004,0.9055415862620128,1.05,0.05792893321702008,0,513.03,977.6000000000004,6144.08,7477.6,"(-0.1,0.15]",27,-0.06857395442345955,3.606525032791019e-4,-0.06893460692673865
2020-03-28,1,6500,6144.08,516.1,27,1.05792893321702,0.471365734362506,0.9975,3e-4,0,18432.24,3,7477.6,977.6000000000004,0.8942065491183886,1.05,0.05792893321702008,0,516.1,977.6000000000004,6144.08,7477.6,"(-0.1,0.15]",27,-0.0701995872486294,3.606525032791019e-4,-0.0705602397519085
